NH_RU,Country
DZ003,ALGERIA
AR001,ARGENTINA
AR008,ARGENTINA
AR012,ARGENTINA
AU004,AUSTRALIA
AU014,AUSTRALIA
AU021,AUSTRALIA
AT001,AUSTRIA
AT006,AUSTRIA
AT029,AUSTRIA
AT032,AUSTRIA
BD001,BANGLADESH
BE002,BELGIUM
BE003,BELGIUM
BE008,BELGIUM
BE013,BELGIUM
BR003,BRAZIL
BR012,BRAZIL
BR017,BRAZIL
BG002,BULGARIA
BG003,BULGARIA
CA004,CANADA
CA030,CANADA
CA039,CANADA
CL001,CHILE
CL007,CHILE
CN006,CHINA
CN009,CHINA
CN013,CHINA
CN014,CHINA
CN015,CHINA
CN020,CHINA
CO001,COLOMBIA
CO006,COLOMBIA
HR001,CROATIA
HR003,CROATIA
CZ002,CZECH REPUBLIC
CZ004,CZECH REPUBLIC
CZ008,CZECH REPUBLIC
DK006,DENMARK
DK007,DENMARK
DK013,DENMARK
DO003,DOMINICAN REP.
EC001,ECUADOR
EC006,ECUADOR
EG002,EGYPT
EG005,EGYPT
FI002,FINLAND
FR001,FRANCE
FR006,FRANCE
FR012,FRANCE
FR045,FRANCE
FR056,FRANCE
DE005,GERMANY
DE006,GERMANY
DE007,GERMANY
DE014,GERMANY
DE035,GERMANY
DE061,GERMANY
DE071,GERMANY
DE078,GERMANY
DE081,GERMANY
DE085,GERMANY
DE094,GERMANY
DE104,GERMANY
DE105,GERMANY
GR001,GREECE
GR008,GREECE
HK002,HONG KONG
HK015,HONG KONG
HU002,HUNGARY
HU008,HUNGARY
HU011,HUNGARY
IN001,INDIA
IN004,INDIA
IN010,INDIA
IN10A,INDIA
IN019,INDIA
ID001,INDONESIA
ID003,INDONESIA
ID005,INDONESIA
IE001,IRELAND
IE002,IRELAND
IE008,IRELAND
IE013,IRELAND
IL001,ISRAEL
IL004,ISRAEL
IT006,ITALY
IT008,ITALY
IT039,ITALY
IT055,ITALY
JP005,JAPAN
JP020,JAPAN
JP023,JAPAN
KE003,NB1KE - Kenya
MK001,MACEDONIA
MY001,MALAYSIA
MY007,MALAYSIA
MY008,MALAYSIA
MX006,MEXICO
MX016,MEXICO
MX019,MEXICO
MA003,MOROCCO
NL008,NETHERLANDS
NL023,NETHERLANDS
NL041,NETHERLANDS
NZ001,NEW ZEALAND
NG004,NB1NG - Nigeria
NO003,NORWAY
PK001,PAKISTAN
PA001,PANAMA
PA011,PANAMA
PE001,PERU
PE005,PERU
PH003,PHILIPPINES
PH009,PHILIPPINES
PH010,PHILIPPINES
PL003,POLAND
PL012,POLAND
PL013,POLAND
PL018,POLAND
PT005,PORTUGAL
PT013,PORTUGAL
PT019,PORTUGAL
PR006,PUERTO RICO
RO003,ROMANIA
RO006,ROMANIA
RO007,ROMANIA
RO008,ROMANIA
RU005,RUSSIAN FED.
RU007,RUSSIAN FED.
RU008,RUSSIAN FED.
RU009,RUSSIAN FED.
SA001,SAUDI ARABIA
SG004,SINGAPORE
SG010,SINGAPORE
SG011,SINGAPORE
SG012,SINGAPORE
SG015,SINGAPORE
SG017,SINGAPORE
SG018,SINGAPORE
SK002,SLOVAKIA
SI003,SLOVENIA
SI006,SLOVENIA
SI014,SLOVENIA
SI017,SLOVENIA
ZA001,SOUTH AFRICA
ZA017,SOUTH AFRICA
ZA018,SOUTH AFRICA
KR001,SOUTH KOREA
KR009,SOUTH KOREA
KR012,SOUTH KOREA
ES003,SPAIN
ES006,SPAIN
ES014,SPAIN
ES042,SPAIN
SE006,SWEDEN
CH010,SWITZERLAND
CH018,SWITZERLAND
CH024,SWITZERLAND
CH028,CH028
CH056,SWITZERLAND
CH078,SWITZERLAND
CH080,SWITZERLAND
CH115,SWITZERLAND
CH128,SWITZERLAND
CH174,SWITZERLAND
CH175,SWITZERLAND
CH220,SWITZERLAND
CH221,TAIWAN
CH222,SWITZERLAND
CH223,SWITZERLAND
CH224,SWITZERLAND
TW003,TAIWAN
TH005,THAILAND
TH011,THAILAND
TR001,TURKEY
TR005,TURKEY
TR007,TURKEY
TR011,TURKEY
TR014,TURKEY
AE001,U. A. EMIRATES
UA005,UKRAINE
UA006,UKRAINE
GB013,UNITED KINGDOM
GB016,UNITED KINGDOM
GB043,UNITED KINGDOM
GB069,UNITED KINGDOM
GB097,UNITED KINGDOM
UY003,URUGUAY
US002,USA
US007,USA
US014,USA
US023,USA
US077,USA
US127,USA
US175,USA
US220,USA
US222,USA
US327,USA
US339,USA
US348,USA
US355,USA
US363,USA
US441,USA
US367,USA
VE001,VENEZUELA
VE006,VENEZUELA
ZZC62,GLOBAL CORRECTION
VE007,VENEZUELA
FR017,FRANCE
DE113,GERMANY
LV001,LATVIA
ZZC70,GLOBAL CORRECTION
MA004,MOROCCO
US341,USA
US454,USA
ZZC63,Global Adj.
ZZC64,GLOBAL CORRECTION
ZZC78,GLOBAL CORRECTION
VE008,VENEZUELA
CH249,SWITZERLAND
AT024,AUSTRIA
CH099,CH028
